Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Apr 2002,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,April 1,"2,443","2,111",15.7
Daily Visitation,April 2,"1,990","1,104",80.3
Daily Visitation,April 3,"2,178","1,177",85.0
Daily Visitation,April 4,"2,595","1,506",72.3
Daily Visitation,April 5,"2,530","1,281",97.5
Daily Visitation,April 6,"3,429","1,273",169.4
Daily Visitation,April 7,"2,287","2,437",-6.2
Daily Visitation,April 8,"2,000","2,049",-2.4
Daily Visitation,April 9,"2,246","1,784",25.9
Daily Visitation,April 10,"2,074","1,790",15.9
Daily Visitation,April 11,"2,184","1,564",39.6
Daily Visitation,April 12,"2,822","1,719",64.2
Daily Visitation,April 13,"4,627","2,691",71.9
Daily Visitation,April 14,"3,444","3,555",-3.1
Daily Visitation,April 15,"2,352","3,451",-31.8
Daily Visitation,April 16,"2,510","1,944",29.1
Daily Visitation,April 17,"2,568","2,094",22.6
Daily Visitation,April 18,"2,494","2,370",5.2
Daily Visitation,April 19,"2,325","2,192",6.1
Daily Visitation,April 20,"2,180","2,207",-1.2
Daily Visitation,April 21,"2,281","2,110",8.1
Daily Visitation,April 22,"2,824",788,258.4
Daily Visitation,April 23,"2,932","2,191",33.8
Daily Visitation,April 24,"2,579","2,196",17.4
Daily Visitation,April 25,"3,314","2,311",43.4
Daily Visitation,April 26,"3,741","2,439",53.4
Daily Visitation,April 27,"3,204","2,737",17.1
Daily Visitation,April 28,"4,579","4,392",4.3
Daily Visitation,April 29,"3,275","3,763",-13.0
Daily Visitation,April 30,"2,743","2,431",12.8
Daily Visitation,April 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"52,140","41,373",26.0,"144,064","107,887",33.5,"285,927"
Non-Recreation Visitors,"30,622","24,299",26.0,"76,137","57,013",33.5,"136,216"
Total Visitors,"82,762","65,672",26.0,"220,201","164,900",33.5,"422,143"

