Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jul 2002,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,July 1,"29,240","23,178",26.2
Daily Visitation,July 2,"30,011","30,415",-1.3
Daily Visitation,July 3,"31,481","37,722",-16.5
Daily Visitation,July 4,"27,270","28,652",-4.8
Daily Visitation,July 5,"30,627","25,913",18.2
Daily Visitation,July 6,"31,153","23,751",31.2
Daily Visitation,July 7,"25,728","22,630",13.7
Daily Visitation,July 8,"25,297","21,454",17.9
Daily Visitation,July 9,"27,557","21,458",28.4
Daily Visitation,July 10,"25,557","24,092",6.1
Daily Visitation,July 11,"24,683","21,897",12.7
Daily Visitation,July 12,"22,913","20,387",12.4
Daily Visitation,July 13,"23,920","20,768",15.2
Daily Visitation,July 14,"23,990","21,245",12.9
Daily Visitation,July 15,"25,843","21,566",19.8
Daily Visitation,July 16,"25,262","22,538",12.1
Daily Visitation,July 17,"24,615","21,790",13.0
Daily Visitation,July 18,"22,637","21,485",5.4
Daily Visitation,July 19,"24,251","20,306",19.4
Daily Visitation,July 20,"24,052","21,894",9.9
Daily Visitation,July 21,"22,594","22,986",-1.7
Daily Visitation,July 22,"28,811","23,165",24.4
Daily Visitation,July 23,"26,958","23,780",13.4
Daily Visitation,July 24,"24,382","24,832",-1.8
Daily Visitation,July 25,"23,160","23,147",0.1
Daily Visitation,July 26,"26,145","21,578",21.2
Daily Visitation,July 27,"25,763","22,720",13.4
Daily Visitation,July 28,"27,094","22,662",19.6
Daily Visitation,July 29,"26,705","23,038",15.9
Daily Visitation,July 30,"27,515","21,978",25.2
Daily Visitation,July 31,"24,424","24,217",0.9

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"599,143","538,171",11.3,"1,314,142","1,113,743",18.0,"1,456,005"
Non-Recreation Visitors,"210,510","189,087",11.3,"496,865","418,262",18.8,"556,943"
Total Visitors,"809,652","727,258",11.3,"1,811,007","1,532,005",18.2,"2,012,948"

