Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Sep 2007,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,September 1,"15,629","11,221",39.3
Daily Visitation,September 2,"13,102","14,524",-9.8
Daily Visitation,September 3,"8,797","15,051",-41.6
Daily Visitation,September 4,"7,652","8,886",-13.9
Daily Visitation,September 5,"8,196","8,751",-6.3
Daily Visitation,September 6,"8,445","9,069",-6.9
Daily Visitation,September 7,"9,391","9,088",3.3
Daily Visitation,September 8,"8,508","9,477",-10.2
Daily Visitation,September 9,"8,184","9,159",-10.6
Daily Visitation,September 10,"10,278","9,683",6.1
Daily Visitation,September 11,"9,465","9,564",-1.0
Daily Visitation,September 12,"8,970","8,762",2.4
Daily Visitation,September 13,"8,094","12,542",-35.5
Daily Visitation,September 14,"8,765","8,790",-0.3
Daily Visitation,September 15,"9,152","8,839",3.5
Daily Visitation,September 16,"8,097","8,253",-1.9
Daily Visitation,September 17,"7,749","6,913",12.1
Daily Visitation,September 18,"7,884","8,291",-4.9
Daily Visitation,September 19,"7,185","8,719",-17.6
Daily Visitation,September 20,"7,053","7,947",-11.2
Daily Visitation,September 21,"7,563","7,032",7.6
Daily Visitation,September 22,"7,843","5,462",43.6
Daily Visitation,September 23,"6,144","7,023",-12.5
Daily Visitation,September 24,"6,068","6,812",-10.9
Daily Visitation,September 25,"6,500","6,682",-2.7
Daily Visitation,September 26,"6,275","6,171",1.7
Daily Visitation,September 27,"6,066","5,975",1.5
Daily Visitation,September 28,"7,054","5,691",24.0
Daily Visitation,September 29,"6,992","6,505",7.5
Daily Visitation,September 30,"6,111","7,618",-19.8
Daily Visitation,September 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"217,553","227,486",-4.4,"1,729,711","1,857,904",-6.9,"1,861,577"
Non-Recreation Visitors,"29,666","31,021",-4.4,"598,814","644,002",-7.0,"653,250"
Total Visitors,"247,220","258,507",-4.4,"2,328,525","2,501,906",-6.9,"2,514,828"

