Data for MT RUSHMORE NATL MENA, SD

Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1993-01-01, 44, 24, 0.00, 0.0, 7
1993-01-02, 47, 18, 0.02, 0, 5
1993-01-03, 18, 10, 0.06, 1.5, 7
1993-01-04, 24, 9, 0.00, 0.0, 6
1993-01-05, 18, -1, 0.00, 0.0, 6
1993-01-06, 29, 14, 0.00, 0.0, 5
1993-01-07, 19, 8, 0.00, 0.0, 5
1993-01-08, 15, 2, 0.10, 9.0, 14
1993-01-09, 4, -2, 0.06, 2.0, 16
1993-01-10, 23, 1, 0.16, 2.0, 18
1993-01-11, 23, 5, 0.00, 0.0, 17
1993-01-12, 7, -4, 0.31, 2.0, 19
1993-01-13, 7, -2, 0.00, 0.0, 19
1993-01-14, 24, 5, 0.00, 0.0, 16
1993-01-15, 43, 24, 0.00, 0.0, 12
1993-01-16, 35, 15, 0.00, 0.0, 10
1993-01-17, 39, 17, 0.00, 0.0, 8
1993-01-18, 35, 26, 0.00, 0.0, 8
1993-01-19, 42, 29, 0.01, 0, 8
1993-01-20, 42, 27, 0.00, 0.0, 6
1993-01-21, 45, 28, 0.00, 0.0, 5
1993-01-22, 45, 22, 0.00, 0.0, 5
1993-01-23, 27, 14, 0.00, 0.0, 5
1993-01-24, 27, 14, 0.00, 0.0, 5
1993-01-25, 43, 27, 0.00, 0.0, 4
1993-01-26, 51, 29, 0.00, 0.0, 4
1993-01-27, 51, 34, 0.00, 0.0, 3
1993-01-28, 40, 13, 0.00, 0.0, 3
1993-01-29, 40, 18, 0.00, 0.0, 3
1993-01-30, 53, 18, 0.00, 0.0, 3
1993-01-31, 52, 38, 0.00, 0.0, 3
1993-02-01, 48, 32, NA, NA, 4
1993-02-02, 37, 26, 0.10, 1.0, 5
1993-02-03, 31, 22, 0.18, 2.0, 7
1993-02-04, 45, 22, 0.00, 0.0, 5
1993-02-05, 53, 35, 0.00, 0.0, 3
1993-02-06, 55, 36, 0.00, 0.0, 3
1993-02-07, 43, 30, 0.00, 0.0, 3
1993-02-08, 45, 28, 0.00, 0.0, 3
1993-02-09, 47, 26, 0.00, 0.0, 3
1993-02-10, 26, 5, 0.12, 3.0, 5
1993-02-11, 18, 5, 0.03, 1.0, 6
1993-02-12, 33, 17, 0, 0, 6
1993-02-13, 32, 19, 0.00, 0.0, 6
1993-02-14, 32, 2, 0, 0, 6
1993-02-15, 2, -5, 0.11, 2.0, 8
1993-02-16, -3, -15, 0.02, 0, 8
1993-02-17, 13, -13, 0.00, 0.0, 8
1993-02-18, 36, 10, 0.00, 0.0, 8
1993-02-19, 20, 6, 0.00, 0.0, 7
1993-02-20, 26, 4, 0, 0, 7
1993-02-21, 10, -0, 0.10, 2.0, 9
1993-02-22, 12, -3, 0.00, 0.0, 9
1993-02-23, 18, 4, 0.00, 0.0, 8
1993-02-24, 13, 2, 0.17, 3.0, 11
1993-02-25, 12, 4, 0.02, 0, 11
1993-02-26, 25, 5, 0.00, 0.0, 10
1993-02-27, 46, 18, 0.00, 0.0, 6
1993-02-28, 48, 30, 0.00, 0.0, 5
1993-03-01, 44, 33, 0.00, 0.0, 4
1993-03-02, 45, 32, 0.00, 0.0, 3
1993-03-03, 32, 25, 0.00, 0.0, 3
1993-03-04, 42, 25, 0.00, 0.0, 3
1993-03-05, 43, 32, 0.00, 0.0, 3
1993-03-06, 48, 29, 0.00, 0.0, 2
1993-03-07, 49, 29, 0.00, 0.0, 2
1993-03-08, 47, 33, 0.00, 0.0, 1
1993-03-09, 45, 22, 0.00, 0.0, 1
1993-03-10, 28, 17, 0.14, 4.0, 4
1993-03-11, 22, 13, 0.00, 0.0, 4
1993-03-12, 17, 7, 0.02, 0.5, 4
1993-03-13, 27, 9, 0.00, 0.0, 3
1993-03-14, 46, 13, 0.00, 0.0, 1
1993-03-15, 49, 35, 0.00, 0.0, 0
1993-03-16, 36, 5, 0.09, 3.0, 3
1993-03-17, 25, NA, 0.02, 0, 2
1993-03-18, 47, 22, 0.00, 0.0, 0
1993-03-19, 45, 29, 0.23, 3.0, 3
1993-03-20, 44, 23, 0.00, 0.0, 2
1993-03-21, 42, 26, 0.00, 0.0, 0
1993-03-22, 48, 23, 0.00, 0.0, 0
1993-03-23, 64, 23, 0.00, 0.0, 0
1993-03-24, 66, 47, 0.00, 0.0, 0
1993-03-25, 69, 50, 0.00, 0.0, 0
1993-03-26, 69, 45, 0.00, 0.0, 0
1993-03-27, 64, 44, 0, 0.0, 0
1993-03-28, 44, 32, 0.21, 0.0, 0
1993-03-29, 37, 31, 0.08, 0.0, 0
1993-03-30, 37, 30, 0.01, 0.0, 0
1993-03-31, 36, 26, 0.00, 0.0, 0
1993-04-01, 32, 24, NA, NA, 0
1993-04-02, 39, 28, 0.00, 0.0, 0
1993-04-03, 45, 26, 0.00, 0.0, 0
1993-04-04, 52, 31, 0.00, 0.0, 0
1993-04-05, 56, 37, 0.00, 0.0, 0
1993-04-06, 42, 28, 1.21, 9.0, 9
1993-04-07, 30, 27, 0.03, 0.0, 7
1993-04-08, 49, 28, 0.00, 0.0, 3
1993-04-09, 56, 40, 0.02, 0.0, 0
1993-04-10, 47, 33, 0, 0.0, 0
1993-04-11, 51, 30, 0.04, 0.0, 0
1993-04-12, 35, 28, 0.07, 0.0, 0
1993-04-13, 32, 26, 0.67, 5.0, 5
1993-04-14, 35, 26, 0.00, 0.0, 5
1993-04-15, 42, 26, 0.00, 0.0, 2
1993-04-16, 50, 31, 0.00, 0.0, 0
1993-04-17, 59, 34, 0.00, 0.0, 0
1993-04-18, 52, 41, 0.00, 0.0, 0
1993-04-19, 42, 23, 0.05, NA, NA
1993-04-20, 36, 25, 0.00, 0.0, 0
1993-04-21, 57, 20, 0.00, 0.0, 0
1993-04-22, 65, 21, 0.00, 0.0, 0
1993-04-23, 53, 40, 0.00, 0.0, 0
1993-04-24, 53, 36, 0, 0.0, 0
1993-04-25, 50, 27, 0.00, 0.0, 0
1993-04-26, 65, 40, 0.00, 0.0, 0
1993-04-27, 57, 40, 0.00, 0.0, 0
1993-04-28, 52, 39, 0.00, 0.0, 0
1993-04-29, 54, 38, 0.00, 0.0, 0
1993-04-30, 45, 29, 1.24, 4.0, 4
1993-05-01, 45, 27, 0.00, 0.0, 0
1993-05-02, 58, 32, 0.00, 0.0, 0
1993-05-03, 66, 44, 0.00, 0.0, 0
1993-05-04, 70, 49, 0.00, 0.0, 0
1993-05-05, 56, 42, 2.00, 0.0, 0
1993-05-06, 51, 44, 0.28, 0.0, 0
1993-05-07, 59, 42, 0.78, 0.0, 0
1993-05-08, 43, 33, 1.16, 0.0, 0
1993-05-09, 51, 33, 0.02, 0.0, 0
1993-05-10, 61, 33, 0.00, 0.0, 0
1993-05-11, 64, 44, 0.00, 0.0, 0
1993-05-12, 70, 47, 0.00, 0.0, 0
1993-05-13, 77, 51, 0.00, 0.0, 0
1993-05-14, 68, 55, 0.00, 0.0, 0
1993-05-15, 60, 43, 0.03, 0.0, 0
1993-05-16, 61, 41, 0.00, 0.0, 0
1993-05-17, 58, 46, 0.00, 0.0, 0
1993-05-18, 58, 39, 0.17, 0.0, 0
1993-05-19, 52, 36, 0.00, 0.0, 0
1993-05-20, 62, 35, 0.00, 0.0, 0
1993-05-21, 75, 42, 0.75, 0.0, 0
1993-05-22, 62, 47, 0.38, 0.0, 0
1993-05-23, 54, 40, 0.03, 0.0, 0
1993-05-24, 53, 35, 0.17, 0.0, 0
1993-05-25, 69, 42, 0.00, 0.0, 0
1993-05-26, 79, 51, 0.00, 0.0, 0
1993-05-27, 69, 55, 0.00, 0.0, 0
1993-05-28, 55, 47, 0.00, 0.0, 0
1993-05-29, 71, 50, 0.00, 0.0, 0
1993-05-30, 61, 47, 0.00, 0.0, 0
1993-05-31, 64, 46, 0.22, 0.0, 0
1993-06-01, 67, 45, 0.31, 0.0, 0
1993-06-02, 46, 39, 0.15, 0.0, 0
1993-06-03, 40, 32, 0.91, 0.0, 0
1993-06-04, 53, 34, 0.00, 0.0, 0
1993-06-05, 69, 42, 0.02, 0.0, 0
1993-06-06, 57, 43, 0.90, 0.0, 0
1993-06-07, 52, 44, 1.18, 0.0, 0
1993-06-08, 55, 42, 0.00, 0.0, 0
1993-06-09, 66, 48, 0, 0.0, 0
1993-06-10, 76, 51, 0.00, 0.0, 0
1993-06-11, 78, 51, 0.08, 0.0, 0
1993-06-12, 77, 48, 0.00, 0.0, 0
1993-06-13, 64, 48, 0.00, 0.0, 0
1993-06-14, 67, 50, 0.00, 0.0, 0
1993-06-15, 81, 50, 0.05, 0.0, 0
1993-06-16, 71, 48, 0.70, 0.0, 0
1993-06-17, 48, 42, 0.12, 0.0, 0
1993-06-18, 47, 43, 0.42, 0.0, 0
1993-06-19, 67, 45, 0.00, 0.0, 0
1993-06-20, 78, 62, 0.00, 0.0, 0
1993-06-21, 82, 50, 0.16, 0.0, 0
1993-06-22, 80, 55, 0.00, 0.0, 0
1993-06-23, 73, 45, 0.00, 0.0, 0
1993-06-24, 59, 44, 0.00, 0.0, 0
1993-06-25, 65, 47, 0.00, 0.0, 0
1993-06-26, 76, 56, 0.00, 0.0, 0
1993-06-27, 81, 57, 0.00, 0.0, 0
1993-06-28, 74, 51, 0.05, 0.0, 0
1993-06-29, 69, 54, 0.01, 0.0, 0
1993-06-30, 69, 51, 0, 0.0, 0
1993-07-01, 71, 55, 0.00, 0.0, 0
1993-07-02, 75, 53, 0.17, 0.0, 0
1993-07-03, 69, 49, 0.00, 0.0, 0
1993-07-04, 64, 49, 0.00, 0.0, 0
1993-07-05, 67, 51, 0, 0.0, 0
1993-07-06, 64, 47, 0.32, 0.0, 0
1993-07-07, 72, 45, 0, 0.0, 0
1993-07-08, 62, 51, 0.01, 0.0, 0
1993-07-09, 76, 50, 0.00, 0.0, 0
1993-07-10, 76, 48, 0.00, 0.0, 0
1993-07-11, 64, 46, 0.00, 0.0, 0
1993-07-12, 80, 54, 0.02, 0.0, 0
1993-07-13, 62, 47, 0.00, 0.0, 0
1993-07-14, 58, 46, 0.02, 0.0, 0
1993-07-15, 80, 50, 0.57, 0.0, 0
1993-07-16, 76, 52, 1.33, 0.0, 0
1993-07-17, 68, 47, 0.10, 0.0, 0
1993-07-18, 65, 53, 0.00, 0.0, 0
1993-07-19, 68, 53, 0.00, 0.0, 0
1993-07-20, 70, 53, 0.00, 0.0, 0
1993-07-21, 75, 53, 0.11, 0.0, 0
1993-07-22, 70, 56, 0, 0.0, 0
1993-07-23, 69, 57, 0.00, 0.0, 0
1993-07-24, 64, 54, 0.15, 0.0, 0
1993-07-25, 71, 50, 0, 0.0, 0
1993-07-26, 72, 55, 0.45, 0.0, 0
1993-07-27, 64, 47, 0.00, 0.0, 0
1993-07-28, 76, 54, 0.00, 0.0, 0
1993-07-29, 87, 60, 0.00, 0.0, 0
1993-07-30, 87, 71, 0.00, 0.0, 0
1993-07-31, 81, 60, 0.00, 0.0, 0
1993-08-01, 71, 57, 0.00, 0.0, 0
1993-08-02, 71, 48, 0.05, 0.0, 0
1993-08-03, 60, 46, 0, 0.0, 0
1993-08-04, 67, 47, 0.00, 0.0, 0
1993-08-05, 67, 53, 0.00, 0.0, 0
1993-08-06, 70, 51, 0.00, 0.0, 0
1993-08-07, 78, 56, 0.00, 0.0, 0
1993-08-08, 82, 61, 0.00, 0.0, 0
1993-08-09, 83, 62, 0.00, 0.0, 0
1993-08-10, 86, 66, 0.00, 0.0, 0
1993-08-11, 85, 58, 0.00, 0.0, 0
1993-08-12, 59, 49, 0.07, 0.0, 0
1993-08-13, 76, 50, 0.41, 0.0, 0
1993-08-14, 73, 59, 0.00, 0.0, 0
1993-08-15, 77, 52, 0.32, 0.0, 0
1993-08-16, 80, 52, 0.00, 0.0, 0
1993-08-17, 78, 60, 0.00, 0.0, 0
1993-08-18, 80, 57, 0.00, 0.0, 0
1993-08-19, 77, 53, 0.61, 0.0, 0
1993-08-20, 70, 53, 0.29, 0.0, 0
1993-08-21, 78, 59, 0.00, 0.0, 0
1993-08-22, 67, 56, 0.00, 0.0, 0
1993-08-23, 77, 57, 0.00, 0.0, 0
1993-08-24, 88, 62, 0.00, 0.0, 0
1993-08-25, 75, 55, 0.00, 0.0, 0
1993-08-26, 62, 52, 0.01, 0.0, 0
1993-08-27, 71, 47, 0.00, 0.0, 0
