"","Date","DailyVisits","MaxTemp","MinTemp","Precipitation","Snowfall","SnowDepth"
"1",1993-01-01,904,44,24,0,0,7
"2",1993-01-02,1132,47,18,0.02,0,5
"3",1993-01-03,729,18,10,0.06,1.5,7
"4",1993-01-04,470,24,9,0,0,6
"5",1993-01-05,588,18,-1,0,0,6
"6",1993-01-06,523,29,14,0,0,5
"7",1993-01-07,645,19,8,0,0,5
"8",1993-01-08,295,15,2,0.1,9,14
"9",1993-01-09,170,4,-2,0.06,2,16
"10",1993-01-10,302,23,1,0.16,2,18
"11",1993-01-11,369,23,5,0,0,17
"12",1993-01-12,314,7,-4,0.31,2,19
"13",1993-01-13,288,7,-2,0,0,19
"14",1993-01-14,434,24,5,0,0,16
"15",1993-01-15,458,43,24,0,0,12
"16",1993-01-16,765,35,15,0,0,10
"17",1993-01-17,753,39,17,0,0,8
"18",1993-01-18,604,35,26,0,0,8
"19",1993-01-19,465,42,29,0.01,0,8
"20",1993-01-20,534,42,27,0,0,6
"21",1993-01-21,489,45,28,0,0,5
"22",1993-01-22,523,45,22,0,0,5
"23",1993-01-23,603,27,14,0,0,5
"24",1993-01-24,645,27,14,0,0,5
"25",1993-01-25,561,43,27,0,0,4
"26",1993-01-26,669,51,29,0,0,4
"27",1993-01-27,511,51,34,0,0,3
"28",1993-01-28,681,40,13,0,0,3
"29",1993-01-29,494,40,18,0,0,3
"30",1993-01-30,904,53,18,0,0,3
"31",1993-01-31,943,52,38,0,0,3
"32",1993-02-01,798,48,32,NA,NA,4
"33",1993-02-02,448,37,26,0.1,1,5
"34",1993-02-03,473,31,22,0.18,2,7
"35",1993-02-04,820,45,22,0,0,5
"36",1993-02-05,977,53,35,0,0,3
"37",1993-02-06,1629,55,36,0,0,3
"38",1993-02-07,1470,43,30,0,0,3
"39",1993-02-08,719,45,28,0,0,3
"40",1993-02-09,722,47,26,0,0,3
"41",1993-02-10,338,26,5,0.12,3,5
"42",1993-02-11,509,18,5,0.03,1,6
"43",1993-02-12,688,33,17,0,0,6
"44",1993-02-13,1044,32,19,0,0,6
"45",1993-02-14,1176,32,2,0,0,6
"46",1993-02-15,336,2,-5,0.11,2,8
"47",1993-02-16,616,-3,-15,0.02,0,8
"48",1993-02-17,498,13,-13,0,0,8
"49",1993-02-18,803,36,10,0,0,8
"50",1993-02-19,809,20,6,0,0,7
"51",1993-02-20,957,26,4,0,0,7
"52",1993-02-21,470,10,0,0.1,2,9
"53",1993-02-22,518,12,-3,0,0,9
"54",1993-02-23,765,18,4,0,0,8
"55",1993-02-24,638,13,2,0.17,3,11
"56",1993-02-25,778,12,4,0.02,0,11
"57",1993-02-26,1008,25,5,0,0,10
"58",1993-02-27,1531,46,18,0,0,6
"59",1993-02-28,1626,48,30,0,0,5
"60",1993-03-01,1049,44,33,0,0,4
"61",1993-03-02,1176,45,32,0,0,3
"62",1993-03-03,826,32,25,0,0,3
"63",1993-03-04,1369,42,25,0,0,3
"64",1993-03-05,1271,43,32,0,0,3
"65",1993-03-06,2282,48,29,0,0,2
"66",1993-03-07,2227,49,29,0,0,2
"67",1993-03-08,1377,47,33,0,0,1
"68",1993-03-09,921,45,22,0,0,1
"69",1993-03-10,933,28,17,0.14,4,4
"70",1993-03-11,860,22,13,0,0,4
"71",1993-03-12,1167,17,7,0.02,0.5,4
"72",1993-03-13,2080,27,9,0,0,3
"73",1993-03-14,1789,46,13,0,0,1
"74",1993-03-15,1389,49,35,0,0,0
"75",1993-03-16,708,36,5,0.09,3,3
"76",1993-03-17,882,25,NA,0.02,0,2
"77",1993-03-18,1195,47,22,0,0,0
"78",1993-03-19,1226,45,29,0.23,3,3
"79",1993-03-20,2256,44,23,0,0,2
"80",1993-03-21,1519,42,26,0,0,0
"81",1993-03-22,1388,48,23,0,0,0
"82",1993-03-23,1889,64,23,0,0,0
"83",1993-03-24,1870,66,47,0,0,0
"84",1993-03-25,1957,69,50,0,0,0
"85",1993-03-26,1849,69,45,0,0,0
"86",1993-03-27,2528,64,44,0,0,0
"87",1993-03-28,1559,44,32,0.21,0,0
"88",1993-03-29,1186,37,31,0.08,0,0
"89",1993-03-30,1170,37,30,0.01,0,0
"90",1993-03-31,1237,36,26,0,0,0
"91",1993-04-01,1463,32,24,NA,NA,0
"92",1993-04-02,1679,39,28,0,0,0
"93",1993-04-03,2828,45,26,0,0,0
"94",1993-04-04,3283,52,31,0,0,0
"95",1993-04-05,2078,56,37,0,0,0
"96",1993-04-06,901,42,28,1.21,9,9
"97",1993-04-07,1543,30,27,0.03,0,7
"98",1993-04-08,2012,49,28,0,0,3
"99",1993-04-09,3150,56,40,0.02,0,0
"100",1993-04-10,3808,47,33,0,0,0
"101",1993-04-11,3923,51,30,0.04,0,0
"102",1993-04-12,1385,35,28,0.07,0,0
"103",1993-04-13,1095,32,26,0.67,5,5
"104",1993-04-14,1855,35,26,0,0,5
"105",1993-04-15,2183,42,26,0,0,2
"106",1993-04-16,2127,50,31,0,0,0
"107",1993-04-17,3587,59,34,0,0,0
"108",1993-04-18,2621,52,41,0,0,0
"109",1993-04-19,1055,42,23,0.05,NA,NA
"110",1993-04-20,1738,36,25,0,0,0
"111",1993-04-21,2208,57,20,0,0,0
"112",1993-04-22,2178,65,21,0,0,0
"113",1993-04-23,2873,53,40,0,0,0
"114",1993-04-24,3399,53,36,0,0,0
"115",1993-04-25,3161,50,27,0,0,0
"116",1993-04-26,2417,65,40,0,0,0
"117",1993-04-27,2793,57,40,0,0,0
"118",1993-04-28,2619,52,39,0,0,0
"119",1993-04-29,2859,54,38,0,0,0
"120",1993-04-30,1668,45,29,1.24,4,4
"121",1993-05-01,3164,45,27,0,0,0
"122",1993-05-02,3736,58,32,0,0,0
"123",1993-05-03,3340,66,44,0,0,0
"124",1993-05-04,3596,70,49,0,0,0
"125",1993-05-05,2301,56,42,2,0,0
"126",1993-05-06,3481,51,44,0.28,0,0
"127",1993-05-07,3477,59,42,0.78,0,0
"128",1993-05-08,3340,43,33,1.16,0,0
"129",1993-05-09,5205,51,33,0.02,0,0
"130",1993-05-10,3917,61,33,0,0,0
"131",1993-05-11,3877,64,44,0,0,0
"132",1993-05-12,3870,70,47,0,0,0
"133",1993-05-13,4192,77,51,0,0,0
"134",1993-05-14,4045,68,55,0,0,0
"135",1993-05-15,5343,60,43,0.03,0,0
"136",1993-05-16,5927,61,41,0,0,0
"137",1993-05-17,4810,58,46,0,0,0
"138",1993-05-18,4918,58,39,0.17,0,0
"139",1993-05-19,4818,52,36,0,0,0
"140",1993-05-20,4805,62,35,0,0,0
"141",1993-05-21,5018,75,42,0.75,0,0
"142",1993-05-22,6391,62,47,0.38,0,0
"143",1993-05-23,7002,54,40,0.03,0,0
"144",1993-05-24,5874,53,35,0.17,0,0
"145",1993-05-25,6611,69,42,0,0,0
"146",1993-05-26,6162,79,51,0,0,0
"147",1993-05-27,6193,69,55,0,0,0
"148",1993-05-28,6684,55,47,0,0,0
"149",1993-05-29,14388,71,50,0,0,0
"150",1993-05-30,16058,61,47,0,0,0
"151",1993-05-31,11374,64,46,0.22,0,0
"152",1993-06-01,8117,67,45,0.31,0,0
"153",1993-06-02,7759,46,39,0.15,0,0
"154",1993-06-03,8645,40,32,0.91,0,0
"155",1993-06-04,12944,53,34,0,0,0
"156",1993-06-05,13581,69,42,0.02,0,0
"157",1993-06-06,13700,57,43,0.9,0,0
"158",1993-06-07,13028,52,44,1.18,0,0
"159",1993-06-08,13068,55,42,0,0,0
"160",1993-06-09,15004,66,48,0,0,0
"161",1993-06-10,13129,76,51,0,0,0
"162",1993-06-11,13296,78,51,0.08,0,0
"163",1993-06-12,16196,77,48,0,0,0
"164",1993-06-13,18040,64,48,0,0,0
"165",1993-06-14,18873,67,50,0,0,0
"166",1993-06-15,16945,81,50,0.05,0,0
"167",1993-06-16,15442,71,48,0.7,0,0
"168",1993-06-17,14272,48,42,0.12,0,0
"169",1993-06-18,13932,47,43,0.42,0,0
"170",1993-06-19,22602,67,45,0,0,0
"171",1993-06-20,19157,78,62,0,0,0
"172",1993-06-21,19445,82,50,0.16,0,0
"173",1993-06-22,21310,80,55,0,0,0
"174",1993-06-23,19032,73,45,0,0,0
"175",1993-06-24,18150,59,44,0,0,0
"176",1993-06-25,18159,65,47,0,0,0
"177",1993-06-26,20035,76,56,0,0,0
"178",1993-06-27,21121,81,57,0,0,0
"179",1993-06-28,21163,74,51,0.05,0,0
"180",1993-06-29,21947,69,54,0.01,0,0
"181",1993-06-30,20050,69,51,0,0,0
"182",1993-07-01,19123,71,55,0,0,0
"183",1993-07-02,19508,75,53,0.17,0,0
"184",1993-07-03,27385,69,49,0,0,0
"185",1993-07-04,31428,64,49,0,0,0
"186",1993-07-05,26738,67,51,0,0,0
"187",1993-07-06,24648,64,47,0.32,0,0
"188",1993-07-07,28908,72,45,0,0,0
"189",1993-07-08,23889,62,51,0.01,0,0
"190",1993-07-09,22931,76,50,0,0,0
"191",1993-07-10,22550,76,48,0,0,0
"192",1993-07-11,25881,64,46,0,0,0
"193",1993-07-12,25037,80,54,0.02,0,0
"194",1993-07-13,25477,62,47,0,0,0
"195",1993-07-14,22744,58,46,0.02,0,0
"196",1993-07-15,22298,80,50,0.57,0,0
"197",1993-07-16,21264,76,52,1.33,0,0
"198",1993-07-17,24618,68,47,0.1,0,0
"199",1993-07-18,26783,65,53,0,0,0
"200",1993-07-19,27831,68,53,0,0,0
"201",1993-07-20,26587,70,53,0,0,0
"202",1993-07-21,24716,75,53,0.11,0,0
"203",1993-07-22,22831,70,56,0,0,0
"204",1993-07-23,21929,69,57,0,0,0
"205",1993-07-24,22293,64,54,0.15,0,0
"206",1993-07-25,27406,71,50,0,0,0
"207",1993-07-26,25261,72,55,0.45,0,0
"208",1993-07-27,26670,64,47,0,0,0
"209",1993-07-28,25051,76,54,0,0,0
"210",1993-07-29,22140,87,60,0,0,0
"211",1993-07-30,21563,87,71,0,0,0
"212",1993-07-31,23475,81,60,0,0,0
"213",1993-08-01,22309,71,57,0,0,0
"214",1993-08-02,24236,71,48,0.05,0,0
