Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,January 1,904,0,Infinity
Daily Visitation,January 2,"1,132",0,Infinity
Daily Visitation,January 3,729,0,Infinity
Daily Visitation,January 4,470,0,Infinity
Daily Visitation,January 5,588,0,Infinity
Daily Visitation,January 6,523,0,Infinity
Daily Visitation,January 7,645,0,Infinity
Daily Visitation,January 8,295,0,Infinity
Daily Visitation,January 9,170,0,Infinity
Daily Visitation,January 10,302,0,Infinity
Daily Visitation,January 11,369,0,Infinity
Daily Visitation,January 12,314,0,Infinity
Daily Visitation,January 13,288,0,Infinity
Daily Visitation,January 14,434,0,Infinity
Daily Visitation,January 15,458,0,Infinity
Daily Visitation,January 16,765,0,Infinity
Daily Visitation,January 17,753,0,Infinity
Daily Visitation,January 18,604,0,Infinity
Daily Visitation,January 19,465,0,Infinity
Daily Visitation,January 20,534,0,Infinity
Daily Visitation,January 21,489,0,Infinity
Daily Visitation,January 22,523,0,Infinity
Daily Visitation,January 23,603,0,Infinity
Daily Visitation,January 24,645,0,Infinity
Daily Visitation,January 25,561,0,Infinity
Daily Visitation,January 26,669,0,Infinity
Daily Visitation,January 27,511,0,Infinity
Daily Visitation,January 28,681,0,Infinity
Daily Visitation,January 29,494,0,Infinity
Daily Visitation,January 30,904,0,Infinity
Daily Visitation,January 31,943,0,Infinity

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"12,445",,0.0,"12,445",,0.0,"12,445"
Non-Recreation Visitors,"5,334",,0.0,"5,334",,0.0,"5,334"
Total Visitors,"17,779",,0.0,"17,779",,0.0,"17,779"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Feb 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,February 1,798,0,Infinity
Daily Visitation,February 2,448,0,Infinity
Daily Visitation,February 3,473,0,Infinity
Daily Visitation,February 4,820,0,Infinity
Daily Visitation,February 5,977,0,Infinity
Daily Visitation,February 6,"1,629",0,Infinity
Daily Visitation,February 7,"1,470",0,Infinity
Daily Visitation,February 8,719,0,Infinity
Daily Visitation,February 9,722,0,Infinity
Daily Visitation,February 10,338,0,Infinity
Daily Visitation,February 11,509,0,Infinity
Daily Visitation,February 12,688,0,Infinity
Daily Visitation,February 13,"1,044",0,Infinity
Daily Visitation,February 14,"1,176",0,Infinity
