"","Date","DailyVisits","VisitsLastYear","%ChangeVisits"
"1",1993-01-01,904,NA,NA
"2",1993-01-02,1132,NA,NA
"3",1993-01-03,729,NA,NA
"4",1993-01-04,470,NA,NA
"5",1993-01-05,588,NA,NA
"6",1993-01-06,523,NA,NA
"7",1993-01-07,645,NA,NA
"8",1993-01-08,295,NA,NA
"9",1993-01-09,170,NA,NA
"10",1993-01-10,302,NA,NA
"11",1993-01-11,369,NA,NA
"12",1993-01-12,314,NA,NA
"13",1993-01-13,288,NA,NA
"14",1993-01-14,434,NA,NA
"15",1993-01-15,458,NA,NA
"16",1993-01-16,765,NA,NA
"17",1993-01-17,753,NA,NA
"18",1993-01-18,604,NA,NA
"19",1993-01-19,465,NA,NA
"20",1993-01-20,534,NA,NA
"21",1993-01-21,489,NA,NA
"22",1993-01-22,523,NA,NA
"23",1993-01-23,603,NA,NA
"24",1993-01-24,645,NA,NA
"25",1993-01-25,561,NA,NA
"26",1993-01-26,669,NA,NA
"27",1993-01-27,511,NA,NA
"28",1993-01-28,681,NA,NA
"29",1993-01-29,494,NA,NA
"30",1993-01-30,904,NA,NA
"31",1993-01-31,943,NA,NA
"32",1993-02-01,798,NA,NA
"33",1993-02-02,448,NA,NA
"34",1993-02-03,473,NA,NA
"35",1993-02-04,820,NA,NA
"36",1993-02-05,977,NA,NA
"37",1993-02-06,1629,NA,NA
"38",1993-02-07,1470,NA,NA
"39",1993-02-08,719,NA,NA
"40",1993-02-09,722,NA,NA
"41",1993-02-10,338,NA,NA
"42",1993-02-11,509,NA,NA
"43",1993-02-12,688,NA,NA
"44",1993-02-13,1044,NA,NA
"45",1993-02-14,1176,NA,NA
"46",1993-02-15,336,NA,NA
"47",1993-02-16,616,NA,NA
"48",1993-02-17,498,NA,NA
"49",1993-02-18,803,NA,NA
"50",1993-02-19,809,NA,NA
"51",1993-02-20,957,NA,NA
"52",1993-02-21,470,NA,NA
"53",1993-02-22,518,NA,NA
"54",1993-02-23,765,NA,NA
"55",1993-02-24,638,NA,NA
"56",1993-02-25,778,NA,NA
"57",1993-02-26,1008,NA,NA
"58",1993-02-27,1531,NA,NA
"59",1993-02-28,1626,NA,NA
"60",1993-03-01,1049,NA,NA
"61",1993-03-02,1176,NA,NA
"62",1993-03-03,826,NA,NA
"63",1993-03-04,1369,NA,NA
"64",1993-03-05,1271,NA,NA
"65",1993-03-06,2282,NA,NA
"66",1993-03-07,2227,NA,NA
"67",1993-03-08,1377,NA,NA
"68",1993-03-09,921,NA,NA
"69",1993-03-10,933,NA,NA
"70",1993-03-11,860,NA,NA
"71",1993-03-12,1167,NA,NA
"72",1993-03-13,2080,NA,NA
"73",1993-03-14,1789,NA,NA
"74",1993-03-15,1389,NA,NA
"75",1993-03-16,708,NA,NA
"76",1993-03-17,882,NA,NA
"77",1993-03-18,1195,NA,NA
"78",1993-03-19,1226,NA,NA
"79",1993-03-20,2256,NA,NA
"80",1993-03-21,1519,NA,NA
"81",1993-03-22,1388,NA,NA
"82",1993-03-23,1889,NA,NA
"83",1993-03-24,1870,NA,NA
"84",1993-03-25,1957,NA,NA
"85",1993-03-26,1849,NA,NA
"86",1993-03-27,2528,NA,NA
"87",1993-03-28,1559,NA,NA
"88",1993-03-29,1186,NA,NA
"89",1993-03-30,1170,NA,NA
"90",1993-03-31,1237,NA,NA
"91",1993-04-01,1463,NA,NA
"92",1993-04-02,1679,NA,NA
"93",1993-04-03,2828,NA,NA
"94",1993-04-04,3283,NA,NA
"95",1993-04-05,2078,NA,NA
"96",1993-04-06,901,NA,NA
"97",1993-04-07,1543,NA,NA
"98",1993-04-08,2012,NA,NA
"99",1993-04-09,3150,NA,NA
"100",1993-04-10,3808,NA,NA
"101",1993-04-11,3923,NA,NA
"102",1993-04-12,1385,NA,NA
"103",1993-04-13,1095,NA,NA
"104",1993-04-14,1855,NA,NA
"105",1993-04-15,2183,NA,NA
"106",1993-04-16,2127,NA,NA
"107",1993-04-17,3587,NA,NA
"108",1993-04-18,2621,NA,NA
"109",1993-04-19,1055,NA,NA
"110",1993-04-20,1738,NA,NA
"111",1993-04-21,2208,NA,NA
"112",1993-04-22,2178,NA,NA
"113",1993-04-23,2873,NA,NA
"114",1993-04-24,3399,NA,NA
"115",1993-04-25,3161,NA,NA
"116",1993-04-26,2417,NA,NA
"117",1993-04-27,2793,NA,NA
"118",1993-04-28,2619,NA,NA
"119",1993-04-29,2859,NA,NA
"120",1993-04-30,1668,NA,NA
"121",1993-05-01,3164,NA,NA
"122",1993-05-02,3736,NA,NA
"123",1993-05-03,3340,NA,NA
"124",1993-05-04,3596,NA,NA
"125",1993-05-05,2301,NA,NA
"126",1993-05-06,3481,NA,NA
"127",1993-05-07,3477,NA,NA
"128",1993-05-08,3340,NA,NA
"129",1993-05-09,5205,NA,NA
"130",1993-05-10,3917,NA,NA
"131",1993-05-11,3877,NA,NA
"132",1993-05-12,3870,NA,NA
"133",1993-05-13,4192,NA,NA
